x,h,j
2.2546512565439292e-10,-8.472420481058531e-21,-5.083452288635119e-21
2.260552924906996e-10,-8.516832543842624e-21,-5.1100995263055754e-21
2.2664700411977047e-10,-8.561477412744542e-21,-5.1368864476467254e-21
2.272402645851809e-10,-8.606356308123836e-21,-5.163813784874302e-21
2.2783507794109344e-10,-8.651470456737354e-21,-5.190882274042413e-21
2.2843144825227984e-10,-8.696821091772333e-21,-5.2180926550634e-21
2.290293795941515e-10,-8.742409452880323e-21,-5.245445671728194e-21
2.2962887605279034e-10,-8.78823678621129e-21,-5.2729420717267756e-21
2.3022994172497092e-10,-8.83430434444725e-21,-5.300582606668351e-21
2.308325807181914e-10,-8.880613386836725e-21,-5.3283680321020356e-21
2.314367971507043e-10,-8.927165179229375e-21,-5.356299107537626e-21
2.320425951515381e-10,-8.973960994110102e-21,-5.384376596466062e-21
2.3264997886053307e-10,-9.021002110634414e-21,-5.412601266380649e-21
2.332589524283628e-10,-9.06828981466287e-21,-5.440973888797722e-21
2.3386952001656566e-10,-9.115825398796468e-21,-5.469495239277881e-21
2.3448168579757567e-10,-9.163610162412167e-21,-5.498166097447301e-21
2.3509545395474574e-10,-9.211645411697995e-21,-5.5269872470187975e-21
2.357108286823789e-10,-9.259932459688964e-21,-5.5559594758133786e-21
2.363278141857598e-10,-9.308472626303168e-21,-5.585083575781901e-21
2.369464146811778e-10,-9.357267238377445e-21,-5.614360343026467e-21
2.375666343959586e-10,-9.40631762970384e-21,-5.643790577822305e-21
2.381884775684961e-10,-9.455625141066328e-21,-5.673375084639798e-21
2.388119484482745e-10,-9.505191120276886e-21,-5.703114672166132e-21
2.3943705129590514e-10,-9.555016922212984e-21,-5.73301015332779e-21
2.400637903831488e-10,-9.605103908854066e-21,-5.7630623453124405e-21
2.4069216999294784e-10,-9.655453449319016e-21,-5.79327206959141e-21
2.4132219441945834e-10,-9.706066919903808e-21,-5.8236401519422854e-21
2.4195386796807374e-10,-9.756945704118676e-21,-5.854167422471206e-21
2.425871949554569e-10,-9.80809119272614e-21,-5.8848547156356845e-21
2.4322217970957286e-10,-9.859504783779292e-21,-5.915702870267576e-21
2.4385882656971233e-10,-9.911187882659507e-21,-5.946712729595704e-21
2.444971398865243e-10,-9.963141902115107e-21,-5.977885141269065e-21
2.4513712402204893e-10,-1.0015368262300233e-20,-6.00922095738014e-21
2.4577878334974e-10,-1.0067868390813074e-20,-6.040721034487844e-21
2.4642212225450335e-10,-1.0120643722735566e-20,-6.07238623364134e-21
2.470671451327194e-10,-1.0173695700672036e-20,-6.104217420403222e-21
2.477138563922761e-10,-1.0227025774788865e-20,-6.136215464873319e-21
2.483622604526028e-10,-1.0280635402854416e-20,-6.16838124171265e-21
2.490123617446934e-10,-1.0334526050278341e-20,-6.200715630167005e-21
2.4966416471114045e-10,-1.0388699190151912e-20,-6.233219514091148e-21
2.503176738061683e-10,-1.0443156303288544e-20,-6.265893781973127e-21
2.509728934956561e-10,-1.0497898878263654e-20,-6.298739326958193e-21
2.516298282571771e-10,-1.0552928411456072e-20,-6.331757046873644e-21
2.522884825800216e-10,-1.0608246407088309e-20,-6.364947844252986e-21
2.529488609652308e-10,-1.0663854377267941e-20,-6.398312626360766e-21
